first_name,last_name,amount,payment_date
Jon,Stephens,0.99,"2005-08-21 16:31:22"
Jon,Stephens,4.99,"2005-08-21 23:53:35"
Jon,Stephens,8.99,"2005-08-22 03:23:41"
Mike,Hillyer,0.99,"2005-08-22 15:36:04"
Mike,Hillyer,4.99,"2005-08-23 17:12:31"
Jon,Stephens,2.99,"2005-08-01 17:53:02"
Jon,Stephens,2.99,"2005-08-01 19:15:08"
Jon,Stephens,0.99,"2005-08-02 15:50:44"
Jon,Stephens,2.99,"2005-08-17 22:53:00"
Mike,Hillyer,4.99,"2005-08-18 07:41:43"
Mike,Hillyer,7.99,"2005-08-18 15:39:46"
Jon,Stephens,4.99,"2005-08-19 13:08:23"
Mike,Hillyer,4.99,"2005-08-19 22:01:42"
Mike,Hillyer,6.99,"2005-08-20 01:10:27"
Mike,Hillyer,8.99,"2005-08-21 14:45:34"
Jon,Stephens,4.99,"2005-08-17 18:26:22"
Mike,Hillyer,2.99,"2005-08-20 10:24:41"
Mike,Hillyer,2.99,"2005-08-20 21:43:44"
Jon,Stephens,2.99,"2005-08-21 08:15:41"
Mike,Hillyer,2.99,"2005-08-21 08:42:26"
Jon,Stephens,5.99,"2005-08-23 12:41:38"
Mike,Hillyer,4.99,"2005-08-01 17:32:53"
Jon,Stephens,1.99,"2005-08-01 19:05:18"
Jon,Stephens,4.99,"2005-08-02 08:03:02"
Jon,Stephens,4.99,"2005-08-02 20:22:45"
Jon,Stephens,0.99,"2005-08-18 06:51:39"
Jon,Stephens,0.99,"2005-08-20 01:29:29"
Jon,Stephens,8.99,"2005-08-16 23:27:36"
Mike,Hillyer,5.99,"2005-08-17 14:10:22"
Mike,Hillyer,9.99,"2005-08-18 02:31:18"
Jon,Stephens,2.99,"2005-08-18 07:40:52"
Mike,Hillyer,8.99,"2005-08-20 09:53:44"
Jon,Stephens,8.99,"2005-08-20 12:46:32"
Mike,Hillyer,4.99,"2005-08-21 00:33:03"
Mike,Hillyer,2.99,"2005-08-22 09:57:16"
Jon,Stephens,0.99,"2005-08-23 03:46:47"
Jon,Stephens,4.99,"2005-08-01 03:33:19"
Mike,Hillyer,7.99,"2005-08-01 14:59:50"
Mike,Hillyer,1.99,"2005-08-02 03:30:24"
Mike,Hillyer,0.99,"2005-08-17 12:27:55"
Mike,Hillyer,0.99,"2005-08-18 01:28:15"
Jon,Stephens,4.99,"2005-08-19 08:48:37"
Mike,Hillyer,4.99,"2005-08-19 12:26:32"
Jon,Stephens,2.99,"2005-08-19 19:25:42"
Jon,Stephens,2.99,"2005-08-21 18:03:20"
Jon,Stephens,6.99,"2005-08-22 10:19:58"
Mike,Hillyer,1.99,"2005-08-22 14:37:22"
Jon,Stephens,0.99,"2005-08-22 17:53:06"
Mike,Hillyer,2.99,"2005-08-23 01:10:42"
Jon,Stephens,4.99,"2005-08-01 13:23:06"
Mike,Hillyer,0.99,"2005-08-01 19:28:47"
Jon,Stephens,0.99,"2005-08-02 07:10:57"
Jon,Stephens,0.99,"2005-08-17 17:53:09"
Jon,Stephens,2.99,"2005-08-17 23:34:16"
Jon,Stephens,4.99,"2005-08-18 19:07:23"
Mike,Hillyer,6.99,"2005-08-18 23:34:22"
Mike,Hillyer,2.99,"2005-08-19 21:37:57"
Jon,Stephens,4.99,"2005-08-19 22:09:28"
Mike,Hillyer,4.99,"2005-08-19 22:43:38"
Mike,Hillyer,8.99,"2005-08-20 00:50:54"
Mike,Hillyer,9.99,"2005-08-20 09:26:14"
Mike,Hillyer,4.99,"2005-08-20 10:48:43"
Jon,Stephens,8.99,"2005-08-20 23:24:07"
Jon,Stephens,2.99,"2005-08-21 02:51:59"
Jon,Stephens,2.99,"2005-08-21 12:10:41"
Mike,Hillyer,4.99,"2005-08-22 03:20:26"
Mike,Hillyer,5.99,"2005-08-17 19:54:54"
Mike,Hillyer,2.99,"2005-08-17 23:22:46"
Jon,Stephens,0.99,"2005-08-19 00:42:24"
Jon,Stephens,9.99,"2005-08-19 09:43:25"
Mike,Hillyer,2.99,"2005-08-20 22:18:53"
Mike,Hillyer,6.99,"2005-08-21 16:24:43"
Mike,Hillyer,7.99,"2005-08-22 13:18:25"
Mike,Hillyer,6.99,"2005-08-23 06:03:31"
Mike,Hillyer,4.99,"2005-08-23 08:48:43"
Mike,Hillyer,4.99,"2005-08-23 14:06:19"
Mike,Hillyer,2.99,"2005-08-02 01:29:57"
Jon,Stephens,2.99,"2005-08-16 23:04:53"
Jon,Stephens,2.99,"2005-08-19 18:31:50"
Jon,Stephens,4.99,"2005-08-19 20:00:25"
Jon,Stephens,6.99,"2005-08-19 23:25:37"
Jon,Stephens,0.99,"2005-08-20 02:21:40"
Jon,Stephens,0.99,"2005-08-20 04:12:41"
Jon,Stephens,2.99,"2005-08-21 13:42:45"
Jon,Stephens,2.99,"2005-08-01 10:38:27"
Mike,Hillyer,2.99,"2005-08-02 12:09:45"
Jon,Stephens,2.99,"2005-08-17 00:57:36"
Jon,Stephens,8.99,"2005-08-18 00:53:37"
Mike,Hillyer,2.99,"2005-08-18 22:22:45"
Mike,Hillyer,1.99,"2005-08-19 07:34:53"
Jon,Stephens,4.99,"2005-08-19 09:40:53"
Mike,Hillyer,0.99,"2005-08-19 16:45:59"
Jon,Stephens,4.99,"2005-08-22 21:28:59"
Mike,Hillyer,5.99,"2005-08-01 04:49:06"
Jon,Stephens,2.99,"2005-08-02 00:12:32"
Mike,Hillyer,2.99,"2005-08-02 02:05:59"
Mike,Hillyer,0.99,"2005-08-17 04:48:05"
Mike,Hillyer,0.99,"2005-08-19 04:48:48"
Mike,Hillyer,4.99,"2005-08-21 03:38:27"
Mike,Hillyer,4.99,"2005-08-21 05:13:16"
Mike,Hillyer,0.99,"2005-08-23 02:57:30"
Mike,Hillyer,5.99,"2005-08-23 20:00:30"
Mike,Hillyer,3.99,"2005-08-01 06:42:20"
Mike,Hillyer,3.99,"2005-08-02 04:48:11"
Jon,Stephens,2.99,"2005-08-02 16:04:08"
Mike,Hillyer,0.99,"2005-08-02 17:00:12"
Mike,Hillyer,5.99,"2005-08-17 08:54:30"
Jon,Stephens,4.99,"2005-08-19 11:25:10"
Jon,Stephens,4.99,"2005-08-21 03:24:29"
Jon,Stephens,8.99,"2005-08-21 03:37:42"
Jon,Stephens,1.99,"2005-08-21 17:51:06"
Mike,Hillyer,7.99,"2005-08-21 20:12:30"
Mike,Hillyer,2.99,"2005-08-22 22:34:44"
Mike,Hillyer,7.99,"2005-08-23 11:16:29"
Mike,Hillyer,7.99,"2005-08-01 21:51:15"
Mike,Hillyer,4.99,"2005-08-02 00:00:33"
Mike,Hillyer,0.99,"2005-08-02 13:12:17"
Mike,Hillyer,8.99,"2005-08-17 05:25:57"
Jon,Stephens,6.99,"2005-08-17 08:48:31"
Jon,Stephens,5.99,"2005-08-17 19:52:43"
Jon,Stephens,0.99,"2005-08-18 11:28:14"
Mike,Hillyer,2.99,"2005-08-18 13:57:50"
Jon,Stephens,4.99,"2005-08-20 13:13:56"
Mike,Hillyer,0.99,"2005-08-22 10:00:04"
Jon,Stephens,6.99,"2005-08-01 03:48:12"
Mike,Hillyer,2.99,"2005-08-02 20:32:55"
Mike,Hillyer,3.99,"2005-08-17 13:44:49"
Jon,Stephens,2.99,"2005-08-18 01:54:44"
Mike,Hillyer,0.99,"2005-08-18 07:44:05"
Mike,Hillyer,2.99,"2005-08-18 20:59:17"
Jon,Stephens,4.99,"2005-08-20 12:11:03"
Jon,Stephens,2.99,"2005-08-21 15:34:23"
Mike,Hillyer,4.99,"2005-08-23 00:48:29"
Mike,Hillyer,2.99,"2005-08-23 02:08:40"
Mike,Hillyer,5.99,"2005-08-01 12:36:09"
Jon,Stephens,1.99,"2005-08-02 01:30:21"
Mike,Hillyer,4.99,"2005-08-02 07:29:10"
Jon,Stephens,2.99,"2005-08-17 17:34:38"
Mike,Hillyer,4.99,"2005-08-18 12:48:22"
Mike,Hillyer,2.99,"2005-08-18 13:20:13"
Jon,Stephens,6.99,"2005-08-18 15:20:46"
Jon,Stephens,6.99,"2005-08-18 17:16:07"
Jon,Stephens,2.99,"2005-08-19 13:50:36"
Mike,Hillyer,0.99,"2005-08-19 23:36:25"
Jon,Stephens,2.99,"2005-08-20 12:03:35"
Mike,Hillyer,3.99,"2005-08-20 14:00:25"
Mike,Hillyer,0.99,"2005-08-21 03:01:45"
Mike,Hillyer,4.99,"2005-08-21 21:01:19"
Mike,Hillyer,7.99,"2005-08-22 07:35:56"
Mike,Hillyer,5.99,"2005-08-22 07:53:00"
Mike,Hillyer,6.99,"2005-08-01 01:57:48"
Mike,Hillyer,2.99,"2005-08-18 03:27:11"
Mike,Hillyer,2.99,"2005-08-18 14:29:37"
Jon,Stephens,0.99,"2005-08-18 22:58:34"
Mike,Hillyer,0.99,"2005-08-19 23:35:44"
Mike,Hillyer,4.99,"2005-08-20 08:50:39"
Mike,Hillyer,0.99,"2005-08-21 08:37:15"
Mike,Hillyer,2.99,"2005-08-21 17:18:33"
Mike,Hillyer,4.99,"2005-08-22 10:39:51"
Mike,Hillyer,4.99,"2005-08-23 04:17:56"
Jon,Stephens,2.99,"2005-08-23 15:17:14"
Jon,Stephens,4.99,"2005-08-17 22:17:09"
Mike,Hillyer,0.99,"2005-08-18 08:26:05"
Jon,Stephens,6.99,"2005-08-23 09:37:34"
Jon,Stephens,6.99,"2005-08-23 14:58:06"
Mike,Hillyer,4.99,"2005-08-02 09:22:25"
Jon,Stephens,4.99,"2005-08-17 12:54:47"
Jon,Stephens,9.99,"2005-08-18 09:50:40"
Mike,Hillyer,8.99,"2005-08-20 10:31:23"
Mike,Hillyer,1.99,"2005-08-20 17:16:10"
Mike,Hillyer,0.99,"2005-08-20 23:18:54"
Jon,Stephens,5.99,"2005-08-21 16:32:32"
Jon,Stephens,2.99,"2005-08-01 04:59:30"
Mike,Hillyer,4.99,"2005-08-02 00:27:12"
Mike,Hillyer,7.99,"2005-08-19 16:25:00"
Mike,Hillyer,2.99,"2005-08-20 14:50:57"
Mike,Hillyer,7.99,"2005-08-20 18:11:44"
Mike,Hillyer,0.99,"2005-08-20 20:12:19"
Mike,Hillyer,0.99,"2005-08-21 18:29:13"
Mike,Hillyer,5.99,"2005-08-22 11:43:04"
Jon,Stephens,2.99,"2005-08-22 12:28:01"
Mike,Hillyer,0.99,"2005-08-01 11:52:32"
Mike,Hillyer,4.99,"2005-08-01 14:58:14"
Jon,Stephens,0.99,"2005-08-02 08:05:19"
Mike,Hillyer,2.99,"2005-08-16 23:18:47"
Jon,Stephens,4.99,"2005-08-17 07:15:47"
Jon,Stephens,2.99,"2005-08-18 04:57:59"
Mike,Hillyer,2.99,"2005-08-18 16:42:45"
Mike,Hillyer,0.99,"2005-08-18 18:36:16"
Mike,Hillyer,4.99,"2005-08-19 21:21:47"
Jon,Stephens,2.99,"2005-08-20 17:55:13"
Mike,Hillyer,5.99,"2005-08-21 20:32:08"
Jon,Stephens,7.99,"2005-08-21 20:54:32"
Mike,Hillyer,1.99,"2005-08-02 15:32:32"
Mike,Hillyer,7.99,"2005-08-02 20:59:52"
Mike,Hillyer,4.99,"2005-08-17 04:50:56"
Mike,Hillyer,4.99,"2005-08-17 21:02:19"
Mike,Hillyer,2.99,"2005-08-20 10:31:01"
Mike,Hillyer,0.99,"2005-08-21 00:53:09"
Jon,Stephens,2.99,"2005-08-21 01:31:51"
Jon,Stephens,4.99,"2005-08-21 22:25:09"
Jon,Stephens,2.99,"2005-08-01 11:53:17"
Jon,Stephens,2.99,"2005-08-01 20:25:35"
Mike,Hillyer,0.99,"2005-08-02 03:48:17"
Jon,Stephens,6.99,"2005-08-02 03:56:23"
Jon,Stephens,4.99,"2005-08-17 04:00:01"
Mike,Hillyer,4.99,"2005-08-17 12:06:54"
Jon,Stephens,2.99,"2005-08-20 04:31:45"
Jon,Stephens,1.99,"2005-08-20 04:34:46"
Mike,Hillyer,4.99,"2005-08-20 08:30:54"
Mike,Hillyer,9.99,"2005-08-21 19:15:33"
Jon,Stephens,4.99,"2005-08-23 08:42:40"
Mike,Hillyer,2.99,"2005-08-01 12:22:41"
Mike,Hillyer,3.99,"2005-08-02 10:39:43"
Mike,Hillyer,7.99,"2005-08-19 09:21:10"
Jon,Stephens,4.99,"2005-08-19 12:55:09"
Jon,Stephens,0.99,"2005-08-20 00:00:24"
Jon,Stephens,3.99,"2005-08-20 01:33:36"
Jon,Stephens,8.99,"2005-08-20 21:19:36"
Mike,Hillyer,0.99,"2005-08-20 23:42:46"
Jon,Stephens,2.99,"2005-08-21 15:15:03"
Mike,Hillyer,3.99,"2005-08-22 09:03:44"
Mike,Hillyer,0.99,"2005-08-23 17:32:19"
Jon,Stephens,0.99,"2005-08-23 22:08:04"
Jon,Stephens,6.99,"2005-08-01 11:53:12"
Jon,Stephens,3.99,"2005-08-02 06:15:40"
Mike,Hillyer,2.99,"2005-08-02 17:13:26"
Mike,Hillyer,4.99,"2005-08-17 12:20:01"
Jon,Stephens,0.99,"2005-08-17 22:28:15"
Jon,Stephens,1.99,"2005-08-18 01:45:50"
Mike,Hillyer,4.99,"2005-08-21 16:03:01"
Jon,Stephens,2.99,"2005-08-21 18:48:06"
Mike,Hillyer,6.99,"2005-08-22 00:25:59"
Mike,Hillyer,2.99,"2005-08-23 09:02:04"
Mike,Hillyer,5.99,"2005-08-23 11:55:50"
Mike,Hillyer,4.99,"2005-08-01 02:39:12"
Jon,Stephens,4.99,"2005-08-01 03:09:26"
Jon,Stephens,0.99,"2005-08-01 15:34:46"
Mike,Hillyer,9.99,"2005-08-01 15:44:43"
Jon,Stephens,0.99,"2005-08-18 04:26:54"
Jon,Stephens,4.99,"2005-08-18 11:25:11"
Jon,Stephens,7.99,"2005-08-19 11:01:54"
Jon,Stephens,5.99,"2005-08-22 12:51:38"
Mike,Hillyer,2.99,"2005-08-01 08:58:08"
Jon,Stephens,0.99,"2005-08-17 16:08:49"
Jon,Stephens,3.99,"2005-08-17 17:11:05"
Jon,Stephens,9.99,"2005-08-18 09:11:23"
Jon,Stephens,2.99,"2005-08-19 03:16:58"
Mike,Hillyer,6.99,"2005-08-19 13:07:12"
Mike,Hillyer,0.99,"2005-08-19 21:31:45"
Mike,Hillyer,5.99,"2005-08-20 14:23:20"
Mike,Hillyer,2.99,"2005-08-20 17:58:11"
Mike,Hillyer,6.99,"2005-08-21 06:01:08"
Mike,Hillyer,2.99,"2005-08-22 16:06:49"
Jon,Stephens,4.99,"2005-08-01 10:45:51"
Mike,Hillyer,5.99,"2005-08-02 00:00:54"
Jon,Stephens,2.99,"2005-08-18 00:10:20"
Jon,Stephens,3.99,"2005-08-18 01:08:34"
Jon,Stephens,0.99,"2005-08-19 01:07:02"
Jon,Stephens,7.99,"2005-08-21 15:29:47"
Jon,Stephens,4.99,"2005-08-23 16:08:40"
Jon,Stephens,2.99,"2005-08-01 05:18:56"
Jon,Stephens,2.99,"2005-08-01 23:47:03"
Mike,Hillyer,5.99,"2005-08-02 02:54:53"
Mike,Hillyer,4.99,"2005-08-18 12:25:16"
Jon,Stephens,2.99,"2005-08-18 13:05:37"
Mike,Hillyer,7.99,"2005-08-21 12:50:33"
Mike,Hillyer,2.99,"2005-08-23 00:42:49"
Mike,Hillyer,4.99,"2005-08-17 09:11:52"
Mike,Hillyer,2.99,"2005-08-21 05:29:55"
Mike,Hillyer,4.99,"2005-08-21 19:19:21"
Jon,Stephens,4.99,"2005-08-22 01:54:52"
Jon,Stephens,4.99,"2005-08-22 14:27:46"
Jon,Stephens,6.99,"2005-08-23 14:23:44"
Jon,Stephens,2.99,"2005-08-23 18:51:41"
Mike,Hillyer,2.99,"2005-08-02 17:53:36"
Jon,Stephens,3.99,"2005-08-18 07:16:58"
Mike,Hillyer,4.99,"2005-08-18 13:17:07"
Mike,Hillyer,6.99,"2005-08-19 00:16:54"
Jon,Stephens,4.99,"2005-08-19 07:06:34"
Jon,Stephens,2.99,"2005-08-22 10:14:33"
Mike,Hillyer,2.99,"2005-08-01 11:22:20"
Jon,Stephens,6.99,"2005-08-02 00:33:12"
Mike,Hillyer,8.99,"2005-08-02 05:04:18"
Mike,Hillyer,4.99,"2005-08-02 05:51:10"
Jon,Stephens,2.99,"2005-08-02 22:28:22"
Jon,Stephens,3.99,"2005-08-02 22:35:15"
Mike,Hillyer,2.99,"2005-08-17 08:09:00"
Mike,Hillyer,3.99,"2005-08-19 20:18:39"
Jon,Stephens,4.99,"2005-08-19 22:05:19"
Mike,Hillyer,6.99,"2005-08-21 16:52:03"
Mike,Hillyer,10.99,"2005-08-23 14:47:26"
Jon,Stephens,7.99,"2005-08-23 22:13:04"
Jon,Stephens,4.99,"2005-08-01 08:30:11"
Mike,Hillyer,4.99,"2005-08-01 22:22:07"
Mike,Hillyer,5.99,"2005-08-01 23:13:00"
Mike,Hillyer,0.99,"2005-08-17 07:49:17"
Jon,Stephens,4.99,"2005-08-17 22:32:37"
Jon,Stephens,2.99,"2005-08-18 03:25:08"
Jon,Stephens,4.99,"2005-08-18 04:49:27"
Mike,Hillyer,2.99,"2005-08-18 05:30:31"
Jon,Stephens,4.99,"2005-08-18 11:19:47"
Mike,Hillyer,0.99,"2005-08-19 16:05:36"
Jon,Stephens,4.99,"2005-08-21 02:10:57"
Jon,Stephens,6.99,"2005-08-21 15:08:05"
Mike,Hillyer,4.99,"2005-08-22 05:54:03"
Mike,Hillyer,2.99,"2005-08-23 00:31:57"
Mike,Hillyer,0.99,"2005-08-23 10:35:51"
Mike,Hillyer,5.99,"2005-08-23 12:47:26"
Mike,Hillyer,0.99,"2005-08-02 08:59:04"
Jon,Stephens,5.99,"2005-08-02 22:09:01"
Mike,Hillyer,7.99,"2005-08-18 02:35:39"
Jon,Stephens,7.99,"2005-08-18 04:41:47"
Mike,Hillyer,0.99,"2005-08-21 10:25:56"
Jon,Stephens,2.99,"2005-08-23 15:39:18"
Jon,Stephens,2.99,"2005-08-01 03:22:23"
Jon,Stephens,1.99,"2005-08-21 12:21:25"
Jon,Stephens,2.99,"2005-08-21 15:22:50"
Mike,Hillyer,3.99,"2005-08-22 17:27:23"
Mike,Hillyer,0.99,"2005-08-01 03:05:59"
Mike,Hillyer,2.99,"2005-08-01 14:10:21"
Mike,Hillyer,2.99,"2005-08-01 22:43:12"
Jon,Stephens,5.99,"2005-08-21 03:00:03"
Mike,Hillyer,6.99,"2005-08-21 18:35:54"
Mike,Hillyer,2.99,"2005-08-21 20:02:18"
Jon,Stephens,4.99,"2005-08-01 02:58:27"
Jon,Stephens,7.99,"2005-08-01 10:20:34"
Jon,Stephens,3.99,"2005-08-02 06:27:13"
Mike,Hillyer,6.99,"2005-08-18 23:25:20"
Jon,Stephens,7.99,"2005-08-19 12:24:23"
Mike,Hillyer,4.99,"2005-08-20 22:17:01"
Jon,Stephens,2.99,"2005-08-22 13:36:30"
Jon,Stephens,6.99,"2005-08-22 22:49:23"
Mike,Hillyer,4.99,"2005-08-23 21:25:03"
Jon,Stephens,4.99,"2005-08-01 02:20:01"
Mike,Hillyer,2.99,"2005-08-01 21:14:24"
Mike,Hillyer,0.99,"2005-08-02 01:12:35"
Mike,Hillyer,2.99,"2005-08-02 15:38:03"
Jon,Stephens,4.99,"2005-08-17 06:39:16"
Jon,Stephens,6.99,"2005-08-17 09:07:56"
Mike,Hillyer,0.99,"2005-08-18 01:36:00"
